 4.5186  177  255 187   0
 4.6774  178  255 183   0
 4.8417  179  255 179   0
 5.0119  180  255 175   0
 5.1880  181  255 171   0
 5.3703  182  255 167   0
 5.5590  183  255 163   0
 5.7544  184  255 159   0
 5.9566  185  255 155   0
 6.1660  186  255 151   0
 6.3826  187  255 147   0
 6.6069  188  255 143   0
 6.8391  189  255 139   0
 7.0795  190  255 135   0
 7.3282  191  255 131   0
 7.5858  192  255 127   0
 7.8524  193  255 123   0
 8.1283  194  255 119   0
 8.4140  195  255 115   0
 8.7096  196  255 111   0
 9.0157  197  255 107   0
 9.3325  198  255 103   0
 9.6605  199  255  99   0
